gnis,place_name,state_code,source_url,status
2411005,"City of Round Rock",TX,"https://library.municode.com/tx/round_rock, http://www.roundrocktexas.gov/",incomplete_scrape
619396,"City of Cambridge",MA,"https://library.municode.com/ma/cambridge, https://www.cambridgema.gov/",not_scraped
2411083,"City of Meridian",ID,"https://library.municode.com/id/meridian, http://www.meridiancity.org",incomplete_scrape
2405713,"City of West Palm Beach",FL,"https://library.municode.com/fl/west_palm_beach, http://wpb.org",incomplete_scrape
2394710,"City of Evansville",IN,"https://www.codepublishing.com/IN/Evansville/, http://www.evansvillegov.org",not_scraped
2404067,"City of Clearwater",FL,"https://library.municode.com/fl/clearwater, http://www.myclearwater.com",not_scraped
2409849,"City of Billings",MT,"https://library.municode.com/mt/billings, http://www.cityofbillings.net/",scraped
2412222,"City of West Jordan",UT,"https://codelibrary.amlegal.com/codes/westjordanut/latest/overview, https://www.westjordan.utah.gov/",not_scraped
2410939,"City of Richmond",CA,"https://library.municode.com/ca/richmond, https://www.ci.richmond.ca.us/",incomplete_scrape
2412237,"City of Westminster",CO,"https://library.municode.com/co/westminster, http://www.ci.westminster.co.us/",not_scraped
873658,"City of Manchester",NH,"https://codelibrary.amlegal.com/codes/manchester/latest/overview, http://www.manchesternh.gov/",not_scraped
618227,"City of Lowell",MA,"https://ecode360.com/LO1990, https://www.lowellma.gov/",not_scraped
2405754,"City of Wilmington",NC,"https://library.municode.com/nc/wilmington, http://www.wilmingtonnc.gov/",not_scraped
2409715,"City of Antioch",CA,"https://codelibrary.amlegal.com/codes/antioch/latest/overview, https://www.antiochca.gov/",not_scraped
2409806,"City of Beaumont",TX,"https://ecode360.com/BE6239, https://www.beaumonttexas.gov",not_scraped
2411499,"City of Provo",UT,"https://provo.municipal.codes/, http://www.provo.org",not_scraped
2404391,"City of North Charleston",SC,"https://library.municode.com/sc/north_charleston, http://www.northcharleston.org",scraped
2394641,"City of Elgin",IL,https://www.cityofelgin.org/,not_scraped
2409984,"City of Carlsbad",CA,"https://ecode360.com/CA4913, http://www.carlsbadca.gov",not_scraped
2411303,"City of Odessa",TX,"https://ecode360.com/OD6428, http://www.odessa-tx.gov/",not_scraped
2378294,"City of Waterbury",CT,"https://codelibrary.amlegal.com/codes/waterbury/latest/overview, https://www.waterburyct.org",not_scraped
2395940,"City of Springfield",IL,"https://library.municode.com/il/springfield, https://www.springfield.il.us/",incomplete_scrape
2411642,"City of League City",TX,"https://library.municode.com/tx/league_city, http://www.leaguecity.com/",incomplete_scrape
2410352,"City of Downey",CA,"https://ecode360.com/DO4924, http://www.downeyca.org/",not_scraped
2410663,"City of Gresham",OR,http://www.greshamoregon.gov,not_scraped
